country_name,bureau_index_wgi,gdp_pc_log,vdem_libdem
Somalia,-2.038427699533233,6.050658302955124,0.1
South Sudan,-1.9936691274108775,,0.068
Yemen,-1.973602080203509,6.963456431484124,0.035
Syrian Arab Republic (the),-1.97190065999797,6.588567125778566,0.034
Libya,-1.8485394374077917,8.768957304755745,0.148
Venezuela (Bolivarian Republic of),-1.809158352668612,,0.066
Afghanistan,-1.636677633041652,6.3154233357950895,0.197
Central African Republic (the),-1.588440032738336,5.927504322949321,0.202
Congo (the Democratic Republic of the),-1.569950156779165,6.1891531180110295,0.159
Korea (the Democratic People's Republic of),-1.568203466599867,,0.014
