ccode,cname,year,ccp_civil,wdi_wombuslawi,atop_neutrality
4,Afghanistan,1946,2.0,,1.0
4,Afghanistan,1947,2.0,,1.0
4,Afghanistan,1948,2.0,,1.0
4,Afghanistan,1949,2.0,,1.0
4,Afghanistan,1950,2.0,,1.0
4,Afghanistan,1951,2.0,,1.0
4,Afghanistan,1952,2.0,,1.0
4,Afghanistan,1953,2.0,,1.0
4,Afghanistan,1954,2.0,,1.0
4,Afghanistan,1955,2.0,,1.0
4,Afghanistan,1956,2.0,,1.0
4,Afghanistan,1957,2.0,,1.0
4,Afghanistan,1958,2.0,,1.0
4,Afghanistan,1959,2.0,,1.0
4,Afghanistan,1960,2.0,,1.0
4,Afghanistan,1961,2.0,,1.0
4,Afghanistan,1962,2.0,,1.0
4,Afghanistan,1963,2.0,,1.0
4,Afghanistan,1964,1.0,,1.0
4,Afghanistan,1965,1.0,,1.0
4,Afghanistan,1966,1.0,,1.0
4,Afghanistan,1967,1.0,,1.0
4,Afghanistan,1968,1.0,,1.0
4,Afghanistan,1969,1.0,,1.0
4,Afghanistan,1970,1.0,26.25,1.0
4,Afghanistan,1971,1.0,26.25,1.0
4,Afghanistan,1972,1.0,26.25,1.0
4,Afghanistan,1973,,26.25,1.0
4,Afghanistan,1974,,26.25,1.0
4,Afghanistan,1975,,26.25,1.0
4,Afghanistan,1976,,26.25,1.0
4,Afghanistan,1977,1.0,26.25,1.0
4,Afghanistan,1978,,26.25,1.0
4,Afghanistan,1979,2.0,26.25,1.0
4,Afghanistan,1980,2.0,26.25,0.0
4,Afghanistan,1981,2.0,26.25,0.0
4,Afghanistan,1982,2.0,26.25,0.0
4,Afghanistan,1983,2.0,26.25,0.0
4,Afghanistan,1984,2.0,26.25,0.0
4,Afghanistan,1985,2.0,26.25,0.0
4,Afghanistan,1986,2.0,26.25,0.0
4,Afghanistan,1987,1.0,26.25,0.0
4,Afghanistan,1988,1.0,25.625,0.0
4,Afghanistan,1989,1.0,25.625,0.0
4,Afghanistan,1990,2.0,25.625,0.0
4,Afghanistan,1991,2.0,25.625,0.0
4,Afghanistan,1992,2.0,25.625,0.0
4,Afghanistan,1993,2.0,25.625,0.0
4,Afghanistan,1994,2.0,25.625,0.0
4,Afghanistan,1995,2.0,25.625,0.0
4,Afghanistan,1996,2.0,25.625,0.0
4,Afghanistan,1997,2.0,25.625,0.0
4,Afghanistan,1998,2.0,25.625,0.0
4,Afghanistan,1999,2.0,26.25,0.0
4,Afghanistan,2000,2.0,26.25,0.0
4,Afghanistan,2001,1.0,26.25,0.0
4,Afghanistan,2002,1.0,26.25,0.0
4,Afghanistan,2003,1.0,26.25,0.0
4,Afghanistan,2004,1.0,26.25,0.0
4,Afghanistan,2005,1.0,26.25,0.0
4,Afghanistan,2006,1.0,26.25,0.0
4,Afghanistan,2007,1.0,28.75,
4,Afghanistan,2008,1.0,28.75,
4,Afghanistan,2009,1.0,28.75,
4,Afghanistan,2010,1.0,28.75,
4,Afghanistan,2011,1.0,28.75,
4,Afghanistan,2012,1.0,28.75,0.0
4,Afghanistan,2013,1.0,28.75,0.0
4,Afghanistan,2014,1.0,28.75,0.0
4,Afghanistan,2015,1.0,28.75,0.0
4,Afghanistan,2016,1.0,38.125,0.0
4,Afghanistan,2017,1.0,38.125,0.0
4,Afghanistan,2018,1.0,38.125,0.0
4,Afghanistan,2019,1.0,38.125,
4,Afghanistan,2020,1.0,38.125,
4,Afghanistan,2021,1.0,38.125,
4,Afghanistan,2022,,31.875,
8,Albania,1946,2.0,,0.0
8,Albania,1947,2.0,,0.0
8,Albania,1948,2.0,,0.0
8,Albania,1949,2.0,,0.0
8,Albania,1950,2.0,,0.0
8,Albania,1951,2.0,,0.0
8,Albania,1952,2.0,,0.0
8,Albania,1953,2.0,,0.0
8,Albania,1954,2.0,,0.0
8,Albania,1955,2.0,,0.0
8,Albania,1956,2.0,,0.0
8,Albania,1957,2.0,,0.0
8,Albania,1958,2.0,,0.0
8,Albania,1959,2.0,,0.0
8,Albania,1960,2.0,,0.0
8,Albania,1961,2.0,,0.0
8,Albania,1962,2.0,,0.0
8,Albania,1963,2.0,,0.0
8,Albania,1964,2.0,,0.0
8,Albania,1965,2.0,,0.0
8,Albania,1966,2.0,,0.0
8,Albania,1967,2.0,,0.0
8,Albania,1968,2.0,,0.0
8,Albania,1969,2.0,,
8,Albania,1970,2.0,59.375,
8,Albania,1971,2.0,59.375,
8,Albania,1972,2.0,59.375,
8,Albania,1973,2.0,59.375,
8,Albania,1974,2.0,59.375,
8,Albania,1975,2.0,59.375,
8,Albania,1976,2.0,59.375,
8,Albania,1977,2.0,59.375,
8,Albania,1978,2.0,59.375,
8,Albania,1979,2.0,59.375,
8,Albania,1980,2.0,59.375,
8,Albania,1981,2.0,59.375,
8,Albania,1982,2.0,59.375,
8,Albania,1983,2.0,59.375,
8,Albania,1984,2.0,59.375,
8,Albania,1985,2.0,59.375,
8,Albania,1986,2.0,59.375,
8,Albania,1987,2.0,59.375,
8,Albania,1988,2.0,59.375,
8,Albania,1989,2.0,59.375,
8,Albania,1990,2.0,59.375,
8,Albania,1991,2.0,59.375,0.0
8,Albania,1992,2.0,59.375,1.0
8,Albania,1993,2.0,65.0,1.0
8,Albania,1994,2.0,65.0,1.0
8,Albania,1995,2.0,65.0,1.0
8,Albania,1996,2.0,77.5,1.0
8,Albania,1997,2.0,77.5,1.0
8,Albania,1998,1.0,77.5,1.0
8,Albania,1999,1.0,77.5,1.0
8,Albania,2000,1.0,77.5,1.0
8,Albania,2001,1.0,77.5,1.0
8,Albania,2002,1.0,77.5,1.0
8,Albania,2003,1.0,77.5,1.0
8,Albania,2004,1.0,80.0,1.0
8,Albania,2005,1.0,80.0,1.0
8,Albania,2006,1.0,80.0,1.0
8,Albania,2007,1.0,82.5,1.0
8,Albania,2008,1.0,82.5,1.0
8,Albania,2009,1.0,82.5,1.0
8,Albania,2010,1.0,85.625,1.0
8,Albania,2011,1.0,85.625,1.0
8,Albania,2012,1.0,85.625,1.0
8,Albania,2013,1.0,85.625,1.0
8,Albania,2014,1.0,85.625,1.0
8,Albania,2015,1.0,85.625,1.0
8,Albania,2016,1.0,91.25,1.0
8,Albania,2017,1.0,91.25,1.0
8,Albania,2018,1.0,91.25,1.0
8,Albania,2019,1.0,91.25,
8,Albania,2020,1.0,91.25,
8,Albania,2021,1.0,91.25,
8,Albania,2022,,91.25,
12,Algeria,1963,2.0,,0.0
12,Algeria,1964,2.0,,0.0
12,Algeria,1965,,,0.0
12,Algeria,1966,,,0.0
12,Algeria,1967,,,0.0
12,Algeria,1968,,,0.0
12,Algeria,1969,,,0.0
12,Algeria,1970,,30.0,0.0
12,Algeria,1971,,30.0,0.0
12,Algeria,1972,,30.0,0.0
12,Algeria,1973,,30.0,0.0
12,Algeria,1974,,30.0,0.0
12,Algeria,1975,,32.5,0.0
12,Algeria,1976,1.0,32.5,0.0
12,Algeria,1977,1.0,32.5,0.0
12,Algeria,1978,1.0,32.5,0.0
12,Algeria,1979,1.0,32.5,0.0
12,Algeria,1980,1.0,32.5,0.0
12,Algeria,1981,1.0,32.5,0.0
12,Algeria,1982,1.0,32.5,0.0
12,Algeria,1983,1.0,35.625,0.0
12,Algeria,1984,1.0,38.125,0.0
12,Algeria,1985,1.0,38.125,0.0
12,Algeria,1986,1.0,38.125,0.0
12,Algeria,1987,1.0,38.125,0.0
12,Algeria,1988,1.0,38.125,0.0
12,Algeria,1989,1.0,38.125,0.0
12,Algeria,1990,1.0,43.75,0.0
12,Algeria,1991,1.0,43.75,0.0
12,Algeria,1992,1.0,43.75,0.0
12,Algeria,1993,1.0,43.75,0.0
12,Algeria,1994,1.0,43.75,0.0
12,Algeria,1995,1.0,43.75,0.0
12,Algeria,1996,1.0,43.75,0.0
12,Algeria,1997,1.0,40.625,0.0
12,Algeria,1998,1.0,40.625,0.0
12,Algeria,1999,1.0,40.625,0.0
12,Algeria,2000,1.0,40.625,0.0
12,Algeria,2001,1.0,40.625,0.0
12,Algeria,2002,1.0,40.625,0.0
12,Algeria,2003,1.0,40.625,0.0
12,Algeria,2004,1.0,40.625,0.0
12,Algeria,2005,1.0,55.0,0.0
12,Algeria,2006,1.0,55.0,0.0
12,Algeria,2007,1.0,55.0,0.0
12,Algeria,2008,1.0,55.0,0.0
12,Algeria,2009,1.0,55.0,0.0
12,Algeria,2010,1.0,55.0,0.0
12,Algeria,2011,1.0,55.0,0.0
12,Algeria,2012,1.0,55.0,0.0
12,Algeria,2013,1.0,55.0,0.0
12,Algeria,2014,1.0,55.0,0.0
12,Algeria,2015,1.0,55.0,0.0
12,Algeria,2016,1.0,57.5,0.0
12,Algeria,2017,1.0,57.5,0.0
12,Algeria,2018,1.0,57.5,0.0
12,Algeria,2019,1.0,57.5,
12,Algeria,2020,1.0,57.5,
12,Algeria,2021,1.0,57.5,
12,Algeria,2022,,57.5,
20,Andorra,1993,1.0,,0.0
20,Andorra,1994,1.0,,0.0
20,Andorra,1995,1.0,,0.0
20,Andorra,1996,1.0,,0.0
20,Andorra,1997,1.0,,0.0
20,Andorra,1998,1.0,,0.0
20,Andorra,1999,1.0,,0.0
20,Andorra,2000,1.0,,0.0
20,Andorra,2001,1.0,,0.0
20,Andorra,2002,1.0,,0.0
20,Andorra,2003,1.0,,0.0
20,Andorra,2004,1.0,,0.0
20,Andorra,2005,1.0,,0.0
20,Andorra,2006,1.0,,0.0
20,Andorra,2007,1.0,,0.0
20,Andorra,2008,1.0,,0.0
20,Andorra,2009,1.0,,0.0
20,Andorra,2010,1.0,,0.0
20,Andorra,2011,1.0,,0.0
20,Andorra,2012,1.0,,0.0
20,Andorra,2013,1.0,,0.0
20,Andorra,2014,1.0,,0.0
20,Andorra,2015,1.0,,0.0
20,Andorra,2016,1.0,,0.0
20,Andorra,2017,1.0,,0.0
20,Andorra,2018,1.0,,0.0
20,Andorra,2019,1.0,,
20,Andorra,2020,1.0,,
20,Andorra,2021,1.0,,
24,Angola,1976,96.0,30.625,0.0
24,Angola,1977,96.0,30.625,0.0
24,Angola,1978,96.0,30.625,0.0
24,Angola,1979,96.0,30.625,0.0
24,Angola,1980,96.0,30.625,0.0
24,Angola,1981,96.0,30.625,0.0
24,Angola,1982,96.0,33.125,0.0
24,Angola,1983,96.0,33.125,0.0
24,Angola,1984,96.0,33.125,0.0
24,Angola,1985,96.0,33.125,0.0
24,Angola,1986,96.0,33.125,0.0
24,Angola,1987,96.0,33.125,0.0
24,Angola,1988,96.0,56.25,0.0
24,Angola,1989,96.0,56.25,0.0
