hypothesis,specification,coefficient,std_error,n
H1: Transition,Baseline,0.05734815237754255,0.007307394617094214,13619
H1: Transition,OECD,0.045781205271776156,0.017428669929687536,2956
H1: Transition,Non-OECD,0.06821479648849667,0.008297586592040001,10663
H1: Transition,Post-1990,0.038789271997841095,0.0076893214933990055,6087
H1: Transition,Europe,0.045781205271776156,0.017428669929687536,2956
H2: Duration,Baseline,0.17776752555534003,0.021511354149111026,12747
H2: Duration,OECD,0.24098608827080426,0.04661249005191185,2385
H2: Duration,Non-OECD,0.1584965411065804,0.021650050554685392,10362
H2: Duration,Post-1990,0.11894295944828503,0.017488430556419028,5495
H2: Duration,Europe,0.24098608827080426,0.04661249005191185,2385
H3: Level,Baseline,0.5113519350334528,0.02784455805109902,13620
H3: Level,OECD,0.49649046826835536,0.03386172387190601,2957
H3: Level,Non-OECD,0.5128534491956234,0.03527610719377316,10663
H3: Level,Post-1990,0.47896905658633704,0.033314581745912064,6088
H3: Level,Europe,0.49649046826835536,0.03386172387190601,2957
H4: Consolidation,Baseline,0.033174461778902035,0.004746125162814374,7484
H4: Consolidation,OECD,0.05842079928235053,0.019372155716341568,643
H4: Consolidation,Non-OECD,0.03104930100748117,0.004505227575936506,6841
H4: Consolidation,Post-1990,0.023081142045144602,0.0037241938545298113,3475
H4: Consolidation,Europe,0.05842079928235053,0.019372155716341568,643
